filme1,filme2,qtd_atores_compartilhados,atores_compartilhados,generos_compartilhados,similaridade,peso
Pee-wee's Big Adventure,Big Top Pee-Wee,1,Paul Reubens,Adventure|Comedy,4,0.25
"Dead Pool, The",Space Cowboys,1,Clint Eastwood,Action,3,0.333333
"American Tail: Fievel Goes West, An",George of the Jungle,1,John Cleese,Children,3,0.333333
Footloose,Frost/Nixon,1,Kevin Bacon,Drama,3,0.333333
Short Cuts,Unstrung Heroes,1,Andie MacDowell,Drama,3,0.333333
Mulholland Falls,He's Just Not That Into You,1,Jennifer Connelly,Drama,3,0.333333
Single White Female,Lake Placid,1,Bridget Fonda,Thriller,3,0.333333
Circle of Friends,Sing Street,1,Aidan Gillen,Drama,3,0.333333
Manhunter,Kiss the Girls,1,Brian Cox,Crime|Drama|Thriller,5,0.2
Fantastic Voyage,"Poseidon Adventure, The",1,Arthur O'Connell,Adventure,3,0.333333
Adventures in Babysitting,Mystic Pizza,1,Vincent D'Onofrio,Comedy,3,0.333333
"Hours, The",Bewitched,1,Nicole Kidman,Romance,3,0.333333
Harold & Kumar Escape from Guantanamo Bay,Dr. Horrible's Sing-Along Blog,1,Neil Patrick Harris,Comedy,3,0.333333
Stuart Little,The Good Dinosaur,1,Steve Zahn,Children|Comedy|Fantasy,5,0.2
It Could Happen to You,"Weather Man, The",1,Nicolas Cage,Comedy|Drama,4,0.25
"Jackal, The",Kung Fu Panda 3,2,Jack Black|J.K. Simmons,Action,5,0.2
Bad Boys II,Windtalkers,1,Peter Stormare,Action,3,0.333333
"Great Gatsby, The",Inside Llewyn Davis,1,Carey Mulligan,Drama,3,0.333333
"Name of the Rose, The (Name der Rose, Der)",Nymphomaniac: Volume II,1,Christian Slater,Drama|Mystery,4,0.25
21,Love and Other Drugs,1,Josh Gad,Drama|Romance,4,0.25
Scoop,Prisoners,1,Hugh Jackman,Mystery,3,0.333333
End of Days,"Whole Ten Yards, The",1,Kevin Pollak,Action,3,0.333333
"Reader, The",Divergent,1,Kate Winslet,Romance,3,0.333333
Singles,City Hall,1,Bridget Fonda,Drama,3,0.333333
Little Man Tate,Wolf,1,David Hyde Pierce,Drama,3,0.333333
"Soldier's Story, A","Color Purple, The",1,Adolph Caesar,Drama,3,0.333333
Pacific Heights,Mulholland Falls,1,Melanie Griffith,Thriller,3,0.333333
I Still Know What You Did Last Summer,Insurgent,1,Mekhi Phifer,Thriller,3,0.333333
Horrible Bosses,Just Go with It,1,Jennifer Aniston,Comedy,3,0.333333
Green Lantern,Black Panther,1,Angela Bassett,Action|Adventure|Sci-Fi,5,0.2
Money Train,"Substitute, The",1,Vincent Laresca,Action|Crime|Drama,5,0.2
Buffy the Vampire Slayer,"Mechanic, The",1,Donald Sutherland,Action,3,0.333333
"Legend of Bagger Vance, The",Runaway Jury,1,Bruce McGill,Drama,3,0.333333
"Last Boy Scout, The","Jackal, The",1,Bruce Willis,Action|Thriller,4,0.25
Starman,"Contender, The",1,Jeff Bridges,Drama,3,0.333333
Psycho II,One Hour Photo,1,Lee Garlington,Thriller,3,0.333333
Red Eye,Sunshine,1,Cillian Murphy,Thriller,3,0.333333
13 Going on 30,The Age of Adaline,1,Kathy Baker,Fantasy|Romance,4,0.25
Police Academy 3: Back in Training,Short Circuit,1,Steve Guttenberg,Comedy,3,0.333333
Dirty Rotten Scoundrels,Cheaper by the Dozen,1,Steve Martin,Comedy,3,0.333333
It Could Happen to You,Margin Call,1,Stanley Tucci,Drama,3,0.333333
Gone Baby Gone,Manchester by the Sea,1,Casey Affleck,Drama,3,0.333333
"Opposite of Sex, The",P.S. I Love You,1,Lisa Kudrow,Comedy|Drama|Romance,5,0.2
To Have and Have Not,"Treasure of the Sierra Madre, The",1,Humphrey Bogart,Adventure|Drama,4,0.25
Once Upon a Time in Mexico,Public Enemies,1,Johnny Depp,Crime|Thriller,4,0.25
Lifeboat,"Pelican Brief, The",1,Hume Cronyn,Drama,3,0.333333
Sophie's Choice,Great Expectations,1,Josh Mostel,Drama,3,0.333333
Lake Placid,"Equalizer, The",1,Bill Pullman,Thriller,3,0.333333
"Object of My Affection, The",Horrible Bosses,1,Jennifer Aniston,Comedy,3,0.333333
Sky Captain and the World of Tomorrow,Beowulf,1,Angelina Jolie,Action|Adventure,4,0.25
Bicentennial Man,"Ugly Truth, The",1,John Michael Higgins,Drama|Romance,4,0.25
Kate & Leopold,Back to School,1,Paxton Whitehead,Comedy,3,0.333333
Sgt. Bilko,Crossroads,1,Dan Aykroyd,Comedy,3,0.333333
WarGames,In the Valley of Elah,1,Barry Corbin,Drama,3,0.333333
Miracle,"Good Night, and Good Luck.",1,Patricia Clarkson,Drama,3,0.333333
White Squall,"Men Who Stare at Goats, The",1,Jeff Bridges,Action|Drama,4,0.25
Spy Kids,The Expendables 3,1,Antonio Banderas,Action|Adventure,4,0.25
Transformers: Revenge of the Fallen,"Fast & Furious 6 (Fast and the Furious 6, The)",1,Tyrese Gibson,Action|IMAX,4,0.25
When a Man Loves a Woman,"Spitfire Grill, The",1,Ellen Burstyn,Drama,3,0.333333
Moonraker,"Cannonball Run, The",1,Roger Moore,Action,3,0.333333
If Lucy Fell,Megamind,1,Ben Stiller,Comedy,3,0.333333
Picture Perfect,Horrible Bosses,1,Jennifer Aniston,Comedy,3,0.333333
History of the World: Part I,All Dogs Go to Heaven 2,1,Dom DeLuise,Musical,3,0.333333
Broadcast News,Dudley Do-Right,1,Robert Prosky,Comedy,3,0.333333
Get Carter,Spy Kids,1,Alan Cumming,Action,3,0.333333
Singles,Beautiful Girls,1,Matt Dillon,Comedy|Drama|Romance,5,0.2
I Spy,"Darjeeling Limited, The",1,Owen Wilson,Adventure|Comedy,4,0.25
Terms of Endearment,"Pledge, The",1,Jack Nicholson,Drama,3,0.333333
Red Heat,"6th Day, The",1,Arnold Schwarzenegger,Action,3,0.333333
RocknRolla,Zero Dark Thirty,1,Mark Strong,Action,3,0.333333
"Pelican Brief, The","Taking of Pelham 1 2 3, The",1,Denzel Washington,Crime|Drama|Thriller,5,0.2
Fantastic Four: Rise of the Silver Surfer,Machete,1,Jessica Alba,Action|Adventure,4,0.25
Shadowlands,Instinct,1,Anthony Hopkins,Drama,3,0.333333
Exotica,Mr. Nobody,1,Sarah Polley,Drama,3,0.333333
Despicable Me 2,"Hangover Part III, The",1,Ken Jeong,Comedy,3,0.333333
Captain Phillips,Saving Mr. Banks,1,Tom Hanks,Drama,3,0.333333
We Bought a Zoo,Elysium,1,Matt Damon,Drama,3,0.333333
"Juror, The",Mysterious Skin,1,Joseph Gordon-Levitt,Drama,3,0.333333
Pacific Heights,Drop Zone,1,Luca Bercovici,Thriller,3,0.333333
Stagecoach,"Treasure of the Sierra Madre, The",1,Tim Holt,Action|Drama|Western,5,0.2
Rebecca,Sleuth,1,Laurence Olivier,Mystery|Thriller,4,0.25
Gremlins 2: The New Batch,Fatal Instinct,1,Tony Randall,Comedy,3,0.333333
Bridget Jones: The Edge of Reason,Robots,1,Jim Broadbent,Comedy,3,0.333333
"Giver, The",Tron: Legacy,1,Jeff Bridges,Sci-Fi,3,0.333333
"Mighty Ducks, The",Dumb and Dumberer: When Harry Met Lloyd,1,Elden Henson,Comedy,3,0.333333
Semi-Pro,Megamind,1,Will Ferrell,Comedy,3,0.333333
All the President's Men,Something Wicked This Way Comes,1,Jason Robards,Drama|Thriller,4,0.25
Ladyhawke,You Can Count on Me,1,Matthew Broderick,Romance,3,0.333333
Untamed Heart,"Crazy, Stupid, Love.",1,Marisa Tomei,Drama|Romance,4,0.25
King Arthur,Rango,1,Ray Winstone,Action|Adventure,4,0.25
"Mosquito Coast, The",Ender's Game,1,Harrison Ford,Adventure,3,0.333333
Igby Goes Down,Enchanted,1,Susan Sarandon,Comedy,3,0.333333
Forever Young,Paycheck,1,Joe Morton,Sci-Fi,3,0.333333
Working Girl,Blue Jasmine,1,Alec Baldwin,Drama,3,0.333333
"Fighter, The","Master, The",1,Amy Adams,Drama,3,0.333333
Kiss of Death,Snake Eyes,1,Nicolas Cage,Crime|Thriller,4,0.25
Let Me In,Prisoners,1,Dylan Minnette,Drama|Mystery,4,0.25
Working Girl,Chicken Little,1,Joan Cusack,Comedy,3,0.333333
Big Trouble in Little China,The Fate of the Furious,1,Kurt Russell,Action,3,0.333333
Eight Men Out,Anastasia,1,John Cusack,Drama,3,0.333333
Born on the Fourth of July,U Turn,1,Sean Stone,Drama,3,0.333333
Solaris,Star Trek Beyond,1,John Cho,Sci-Fi,3,0.333333
It Could Happen to You,Riding in Cars with Boys,1,Rosie Perez,Comedy|Drama,4,0.25
"Color Purple, The","Deep End of the Ocean, The",1,Whoopi Goldberg,Drama,3,0.333333
Inventing the Abbotts,13 Going on 30,1,Kathy Baker,Romance,3,0.333333
Ella Enchanted,Shrek the Third,1,Eric Idle,Comedy|Fantasy,4,0.25
"General's Daughter, The",Ladder 49,1,John Travolta,Drama|Thriller,4,0.25
Valkyrie,Mission: Impossible - Rogue Nation,1,Tom Cruise,Thriller,3,0.333333
Déjà Vu (Deja Vu),Devil,1,Matt Craven,Thriller,3,0.333333
"Girl, Interrupted",Taking Lives,1,Angelina Jolie,Drama,3,0.333333
"Opposite of Sex, The",Analyze That,1,Lisa Kudrow,Comedy,3,0.333333
Saturday Night Fever,Primary Colors,1,John Travolta,Comedy|Drama,4,0.25
Klute,Ordinary People,1,Donald Sutherland,Drama,3,0.333333
Talladega Nights: The Ballad of Ricky Bobby,Shrek Forever After (a.k.a. Shrek: The Final Chapter),1,Jane Lynch,Comedy,3,0.333333
Saturday Night Fever,"Civil Action, A",1,John Travolta,Drama,3,0.333333
"Outsiders, The",St. Elmo's Fire,2,Emilio Estevez|Rob Lowe,Drama,5,0.2
Home Fries,Charlie's Angels: Full Throttle,1,Drew Barrymore,Comedy,3,0.333333
U Turn,Milk,1,Sean Penn,Drama,3,0.333333
Night of the Comet,Weekend at Bernie's,1,Catherine Mary Stewart,Comedy,3,0.333333
Mississippi Burning,Shadow of the Vampire,1,Willem Dafoe,Drama,3,0.333333
My Left Foot,Philomena,1,Ruth McCabe,Drama,3,0.333333
"Mighty Ducks, The",Idle Hands,1,Elden Henson,Comedy,3,0.333333
"Fighter, The",Nocturnal Animals,1,Amy Adams,Drama,3,0.333333
Once Upon a Time in America,Miss Congeniality 2: Armed and Fabulous,1,Treat Williams,Crime,3,0.333333
Chain Reaction,"Quiet American, The",1,Tzi Ma,Thriller,3,0.333333
Rebecca,Suspicion,2,Joan Fontaine|Nigel Bruce,Mystery|Thriller,6,0.166667
Wait Until Dark,Rambo: First Blood Part II,1,Richard Crenna,Thriller,3,0.333333
She-Devil,Lemony Snicket's A Series of Unfortunate Events,1,Meryl Streep,Comedy,3,0.333333
Baby Mama,Megamind,1,Tina Fey,Comedy,3,0.333333
Fresh,Smoke,2,Giancarlo Esposito|José Zúñiga,Drama,5,0.2
White Men Can't Jump,"Cowboy Way, The",1,Woody Harrelson,Comedy|Drama,4,0.25
Lemony Snicket's A Series of Unfortunate Events,Open Season,1,Billy Connolly,Adventure|Children|Comedy,5,0.2
Take the Money and Run,Crimes and Misdemeanors,1,Woody Allen,Comedy|Crime,4,0.25
"Great Outdoors, The",Sgt. Bilko,1,Dan Aykroyd,Comedy,3,0.333333
Mr. Mom,"Adventures of Buckaroo Banzai Across the 8th Dimension, The",1,Christopher Lloyd,Comedy,3,0.333333
When a Man Loves a Woman,Sydney (Hard Eight),1,Philip Seymour Hoffman,Drama,3,0.333333
Bringing Out the Dead,Fracture,1,Cliff Curtis,Drama,3,0.333333
Rent,25th Hour,1,Rosario Dawson,Drama,3,0.333333
Beowulf,Rango,1,Ray Winstone,Action|Adventure|Animation,5,0.2
Better Off Dead...,"Accidental Tourist, The",1,David Ogden Stiers,Comedy|Romance,4,0.25
Beverly Hills Cop II,Mr. Wrong,1,Dean Stockwell,Comedy,3,0.333333
"Good Girl, The",Jarhead,1,Jake Gyllenhaal,Drama,3,0.333333
Working Girl,Where the Heart Is,1,Joan Cusack,Comedy|Drama,4,0.25
"General's Daughter, The",Jurassic World: Fallen Kingdom,1,James Cromwell,Drama|Thriller,4,0.25
Manhattan Murder Mystery,Finding Dory,1,Diane Keaton,Comedy,3,0.333333
Coyote Ugly,"Dukes of Hazzard, The",1,Michael Weston,Comedy,3,0.333333
Rocky V,Rambo (Rambo 4),1,Sylvester Stallone,Action|Drama,4,0.25
Starsky & Hutch,"Kingdom, The",1,Jason Bateman,Action|Thriller,4,0.25
Shampoo,All the President's Men,1,Jack Warden,Drama,3,0.333333
"Last Detail, The",Days of Thunder,1,Randy Quaid,Drama,3,0.333333
End of Days,The Expendables 3,1,Arnold Schwarzenegger,Action,3,0.333333
Broadcast News,Outrageous Fortune,1,Robert Prosky,Comedy,3,0.333333
"Paper, The",Orange County,1,Catherine O'Hara,Comedy,3,0.333333
"Crucible, The","Scanner Darkly, A",1,Winona Ryder,Drama,3,0.333333
"Man Who Knew Too Little, The",Mr. Deeds,1,Peter Gallagher,Comedy,3,0.333333
"Adventures of Tintin, The",Spectre,1,Daniel Craig,Action,3,0.333333
Shall We Dance? (Shall We Dansu?),Memoirs of a Geisha,1,Kôji Yakusho,Drama|Romance,4,0.25
"Last Boy Scout, The",Bulworth,1,Halle Berry,Comedy|Drama,4,0.25
Assassins,"Expendables 2, The",1,Sylvester Stallone,Action,3,0.333333
"Informant!, The",Elysium,1,Matt Damon,Drama,3,0.333333
Singles,Lake Placid,2,Bridget Fonda|Bill Pullman,,4,0.25
Fallen,"Replacement Killers, The",1,Frank Medrano,Crime|Thriller,4,0.25
"Man with Two Brains, The",Dirty Rotten Scoundrels,1,Steve Martin,Comedy,3,0.333333
Before Sunset,Daybreakers,1,Ethan Hawke,Drama,3,0.333333
Revolutionary Road,"Great Gatsby, The",1,Leonardo DiCaprio,Drama,3,0.333333
"Slums of Beverly Hills, The","Mexican, The",1,David Krumholtz,Comedy,3,0.333333
Hudson Hawk,Red,1,Bruce Willis,Action|Comedy,4,0.25
"Princess Diaries, The",Hoodwinked!,1,Anne Hathaway,Children|Comedy,4,0.25
Mad Love,"Ice Storm, The",1,Joan Allen,Drama,3,0.333333
Grand Canyon,Boys on the Side,1,Mary-Louise Parker,Drama,3,0.333333
Under the Skin,Lucy,1,Scarlett Johansson,Sci-Fi,3,0.333333
Ice Age 2: The Meltdown,Ice Age 4: Continental Drift,3,John Leguizamo|Denis Leary|Ray Romano,Adventure|Animation|Comedy,9,0.111111
Mickey Blue Eyes,Small Time Crooks,2,Hugh Grant|Tony Darrow,Comedy,5,0.2
"Money Pit, The","Very Brady Sequel, A",1,Shelley Long,Comedy,3,0.333333
"Night at the Roxbury, A",Step Brothers,1,Will Ferrell,Comedy,3,0.333333
"Ladies Man, The",Megamind,1,Will Ferrell,Comedy,3,0.333333
Shark Tale,Kung Fu Panda 2,2,Angelina Jolie|Jack Black,Animation|Children|Comedy,7,0.142857
Universal Soldier,"Expendables 2, The",2,Dolph Lundgren|Jean-Claude Van Damme,Action,5,0.2
RoboCop 3,Marie Antoinette,1,Rip Torn,Drama,3,0.333333
Rocky IV,Driven,1,Sylvester Stallone,Action,3,0.333333
White Men Can't Jump,The Edge of Seventeen,1,Woody Harrelson,Comedy,3,0.333333
Seabiscuit,"Giver, The",1,Jeff Bridges,Drama,3,0.333333
Bad Boys II,Blue Streak,1,Martin Lawrence,Comedy,3,0.333333
We Need to Talk About Kevin,Snowpiercer,1,Tilda Swinton,Drama,3,0.333333
Rambo: First Blood Part II,Driven,1,Sylvester Stallone,Action|Thriller,4,0.25
Boys on the Side,Saved!,1,Mary-Louise Parker,Comedy|Drama,4,0.25
Easy Rider,River's Edge,1,Dennis Hopper,Drama,3,0.333333
Secret Window,Public Enemies,1,Johnny Depp,Thriller,3,0.333333
Chain Reaction,Red Eye,1,Brian Cox,Thriller,3,0.333333
America's Sweethearts,Analyze That,1,Billy Crystal,Comedy,3,0.333333
Next,The Hunger Games: Mockingjay - Part 2,1,Julianne Moore,Sci-Fi,3,0.333333
"Original Kings of Comedy, The",Charlie's Angels: Full Throttle,1,Bernie Mac,Comedy,3,0.333333
"Living Daylights, The",Licence to Kill,1,Timothy Dalton,Action|Adventure|Thriller,5,0.2
Volcano,Transporter 2,1,Keith David,Action|Thriller,4,0.25
"Assassination of Jesse James by the Coward Robert Ford, The","Three Billboards Outside Ebbing, Missouri",1,Sam Rockwell,Crime|Drama,4,0.25
My Stepmother Is an Alien,Sgt. Bilko,1,Dan Aykroyd,Comedy,3,0.333333
"Natural, The",Cellular,1,Kim Basinger,Drama,3,0.333333
Click,Pixels,1,Adam Sandler,Comedy,3,0.333333
My Science Project,Super Mario Bros.,2,Dennis Hopper|Fisher Stevens,Adventure|Sci-Fi,6,0.166667
"Daytrippers, The",Spotlight,2,Liev Schreiber|Stanley Tucci,,4,0.25
Blue in the Face,Cop Land,1,Harvey Keitel,Drama,3,0.333333
48 Hrs.,Dr. Dolittle 2,1,Eddie Murphy,Comedy,3,0.333333
Murder in the First,Cellular,1,William H. Macy,Drama|Thriller,4,0.25
48 Hrs.,Eddie Murphy Raw,1,Eddie Murphy,Comedy,3,0.333333
Overboard,Speed 2: Cruise Control,1,Mike Hagerty,Romance,3,0.333333
Stuart Little,"Haunted Mansion, The",1,Jim Doughan,Children|Comedy|Fantasy,5,0.2
Charlie's Angels: Full Throttle,Identity Thief,1,Robert Patrick,Comedy|Crime,4,0.25
Scrooged,St. Vincent,1,Bill Murray,Comedy,3,0.333333
Killing Zoe,Broken Flowers,1,Julie Delpy,Drama,3,0.333333
Wayne's World 2,Clean Slate,1,Dana Carvey,Comedy,3,0.333333
"Affair to Remember, An",Charade,1,Cary Grant,Romance,3,0.333333
Thirteen Days,Hidden Figures,1,Kevin Costner,Drama,3,0.333333
Murder in the First,Hard Rain,1,Christian Slater,Thriller,3,0.333333
Indecent Proposal,Friends with Benefits,1,Woody Harrelson,Romance,3,0.333333
Sirens,Bridget Jones: The Edge of Reason,1,Hugh Grant,Drama,3,0.333333
Wayne's World 2,Be Cool,1,Steven Tyler,Comedy,3,0.333333
Sky Captain and the World of Tomorrow,Spy,1,Jude Law,Action,3,0.333333
And Your Mother Too (Y tu mamá también),The Book of Life,1,Diego Luna,Romance,3,0.333333
Charlie's Angels: Full Throttle,Ladder 49,1,Robert Patrick,Action|Thriller,4,0.25
Contagion,Divergent,1,Kate Winslet,IMAX|Sci-Fi,4,0.25
Tinker Tailor Soldier Spy,Dunkirk,1,Tom Hardy,Drama|Thriller,4,0.25
Breaking Away,Popeye,1,Paul Dooley,Comedy,3,0.333333
"Man Who Knew Too Little, The",Monsters University,1,Alfred Molina,Comedy,3,0.333333
Cronos,And Your Mother Too (Y tu mamá también),1,Daniel Giménez Cacho,Drama,3,0.333333
Blue Crush,Superman Returns,1,Kate Bosworth,Adventure,3,0.333333
"You, Me and Dupree",50/50,1,Seth Rogen,Comedy,3,0.333333
Saturday Night Fever,Look Who's Talking,1,John Travolta,Comedy|Romance,4,0.25
Elysium,Independence Day: Resurgence,1,William Fichtner,Action|Sci-Fi,4,0.25
"China Syndrome, The",Wall Street,1,Michael Douglas,Drama,3,0.333333
White Noise,Spotlight,1,Michael Keaton,Thriller,3,0.333333
To Gillian on Her 37th Birthday,13 Going on 30,1,Kathy Baker,Romance,3,0.333333
Forever Young,9,1,Elijah Wood,Sci-Fi,3,0.333333
Playing by Heart,"Girl, Interrupted",1,Angelina Jolie,Drama,3,0.333333
48 Hrs.,Tango & Cash,1,Brion James,Action|Comedy|Crime,5,0.2
"Grapes of Wrath, The","Longest Day, The",1,Henry Fonda,Drama,3,0.333333
1984 (Nineteen Eighty-Four),Far and Away,1,Cyril Cusack,Drama,3,0.333333
"Mighty Ducks, The",Loaded Weapon 1 (National Lampoon's Loaded Weapon 1),1,Emilio Estevez,Comedy,3,0.333333
Keeping the Faith,Madagascar: Escape 2 Africa,1,Ben Stiller,Comedy,3,0.333333
Year One,Tron: Legacy,1,Olivia Wilde,Adventure,3,0.333333
Nine to Five (a.k.a. 9 to 5),On Golden Pond,2,Jane Fonda|Dabney Coleman,,4,0.25
Nobody's Fool,State and Main,1,Philip Seymour Hoffman,Comedy|Drama,4,0.25
Wayne's World 2,"Road to Wellville, The",1,Dana Carvey,Comedy,3,0.333333
Jack,Selena,1,Jennifer Lopez,Drama,3,0.333333
Short Circuit,Police Academy 4: Citizens on Patrol,2,Steve Guttenberg|G.W. Bailey,Comedy,5,0.2
Duplex,Megamind,2,Ben Stiller|Justin Theroux,Comedy,5,0.2
"Whole Ten Yards, The",Red,1,Bruce Willis,Action|Comedy,4,0.25
Joe Versus the Volcano,When a Man Loves a Woman,1,Meg Ryan,Romance,3,0.333333
Rambo: First Blood Part II,Fair Game,1,Steven Berkoff,Action,3,0.333333
End of Days,Spider,1,Gabriel Byrne,Mystery,3,0.333333
Innerspace,"'burbs, The",1,Wendy Schaal,Comedy,3,0.333333
Ice Age 2: The Meltdown,Chef,1,John Leguizamo,Comedy,3,0.333333
City of Angels,Captain Corelli's Mandolin,1,Nicolas Cage,Drama|Romance,4,0.25
"Name of the Rose, The (Name der Rose, Der)",Tucker: The Man and His Dream,1,Christian Slater,Drama,3,0.333333
Short Cuts,"End of the Affair, The",1,Julianne Moore,Drama,3,0.333333
Green Zone,"Adjustment Bureau, The",1,Matt Damon,Thriller,3,0.333333
Interstate 60,Grindhouse,1,Kurt Russell,Sci-Fi|Thriller,4,0.25
Cellular,Snowpiercer,1,Chris Evans,Action|Drama,4,0.25
"Accidental Tourist, The","History of Violence, A",1,William Hurt,Drama,3,0.333333
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo),Kung Fu Panda 2,1,Jackie Chan,Action|Adventure|Comedy,5,0.2
"Money Pit, The",Charlie Wilson's War,1,Tom Hanks,Comedy,3,0.333333
Universal Soldier,Street Fighter,1,Jean-Claude Van Damme,Action,3,0.333333
Rosewood,Charlie's Angels: Full Throttle,1,Robert Patrick,Action,3,0.333333
Match Point,Ghost in the Shell,1,Scarlett Johansson,Drama,3,0.333333
"Croods, The","Proposal, The",1,Ryan Reynolds,Comedy,3,0.333333
Shrek the Third,Puss in Boots,1,Antonio Banderas,Adventure|Animation|Comedy|Fantasy,6,0.166667
Heartbreakers,"Mexican, The",1,Gene Hackman,Comedy,3,0.333333
Working Girl,Mr. Wrong,1,Joan Cusack,Comedy,3,0.333333
Spy Kids 2: The Island of Lost Dreams,Shrek the Third,1,Antonio Banderas,Adventure|Children,4,0.25
Elysium,Carnage,1,Jodie Foster,Drama,3,0.333333
Mermaids,"Girl, Interrupted",1,Winona Ryder,Drama,3,0.333333
"Lion in Winter, The",RoboCop 3,1,John Castle,Drama,3,0.333333
"Civil Action, A","Lincoln Lawyer, The",1,William H. Macy,Drama,3,0.333333
National Lampoon's Senior Trip,Sgt. Bilko,1,Eric Edwards,Comedy,3,0.333333
Bottle Rocket,Blue Streak,1,Luke Wilson,Comedy,3,0.333333
Gone Baby Gone,Dan in Real Life,1,Amy Ryan,Drama,3,0.333333
Ted,Sing,1,Seth MacFarlane,Comedy,3,0.333333
Airplane II: The Sequel,Defending Your Life,1,Rip Torn,Comedy,3,0.333333
Knight and Day,Mission: Impossible - Rogue Nation,1,Tom Cruise,Action,3,0.333333
Menace II Society,Incredibles 2,1,Samuel L. Jackson,Action,3,0.333333
Volcano,Flight,1,Don Cheadle,Drama,3,0.333333
Chronicle,Black Panther,1,Michael B. Jordan,Action|Sci-Fi,4,0.25
Michael Collins,Kingdom of Heaven,1,Liam Neeson,Drama,3,0.333333
Tin Men,"Basketball Diaries, The",1,Bruno Kirby,Drama,3,0.333333
Disturbing Behavior,Déjà Vu (Deja Vu),1,Bruce Greenwood,Thriller,3,0.333333
Biloxi Blues,Click,1,Christopher Walken,Comedy|Drama,4,0.25
"Limey, The",Ghost Rider,1,Peter Fonda,Thriller,3,0.333333
"Holiday, The","Reader, The",1,Kate Winslet,Romance,3,0.333333
America's Sweethearts,Night at the Museum: Battle of the Smithsonian,1,Hank Azaria,Comedy,3,0.333333
State of Play,Horrible Bosses,1,Jason Bateman,Crime,3,0.333333
48 Hrs.,Mortal Kombat: Annihilation,1,James Remar,Action,3,0.333333
Megamind,Get Hard,1,Will Ferrell,Comedy,3,0.333333
Mary Reilly,Mulholland Falls,1,John Malkovich,Drama|Thriller,4,0.25
White Squall,"Contender, The",1,Jeff Bridges,Drama,3,0.333333
Home Fries,Lemony Snicket's A Series of Unfortunate Events,1,Catherine O'Hara,Comedy,3,0.333333
"Bucket List, The",Transcendence,1,Morgan Freeman,Drama,3,0.333333
Soldier,Wonder Woman,1,Connie Nielsen,Action,3,0.333333
Point Break,Soldier,1,Gary Busey,Action,3,0.333333
Two if by Sea,"Hours, The",1,Stephen Dillane,Romance,3,0.333333
"Score, The",Meet the Robinsons,1,Angela Bassett,Action,3,0.333333
"Night at the Roxbury, A",Talladega Nights: The Ballad of Ricky Bobby,2,Will Ferrell|Michael Clarke Duncan,Comedy,5,0.2
Meet John Doe,Double Indemnity,1,Barbara Stanwyck,Drama,3,0.333333
Shark Tale,The Intern,1,Robert De Niro,Comedy,3,0.333333
Frida,Prince of Persia: The Sands of Time,1,Alfred Molina,Romance,3,0.333333
I Love Trouble,Serendipity,1,Eugene Levy,Comedy,3,0.333333
U Turn,Men of Honor,1,Powers Boothe,Drama,3,0.333333
Howard the Duck,Green Lantern,1,Tim Robbins,Adventure|Sci-Fi,4,0.25
Force 10 from Navarone,Rocky III,1,Carl Weathers,Action|Drama,4,0.25
"Family Man, The",Ghost Town,1,Téa Leoni,Comedy|Romance,4,0.25
Cellular,Sunshine,1,Chris Evans,Drama|Thriller,4,0.25
Midnight Run,Hide and Seek,1,Robert De Niro,Thriller,3,0.333333
Ruthless People,Renaissance Man,1,Danny DeVito,Comedy,3,0.333333
Capote,"Ides of March, The",1,Philip Seymour Hoffman,Drama,3,0.333333
Tender Mercies,"Natural, The",2,Robert Duvall|Wilford Brimley,Drama,5,0.2
"Getaway, The",25th Hour,1,Philip Seymour Hoffman,Crime|Drama,4,0.25
What Dreams May Come,Death to Smoochy,1,Robin Williams,Drama,3,0.333333
Orange County,"Holiday, The",1,Jack Black,Comedy,3,0.333333
Six Days Seven Nights,"Way, Way Back, The",1,Allison Janney,Comedy,3,0.333333
Wild at Heart,Nurse Betty,1,Crispin Glover,Crime|Drama|Romance|Thriller,6,0.166667
Rebecca,"Lady Eve, The",1,Melville Cooper,Romance,3,0.333333
Rosewood,Space Cowboys,1,Loren Dean,Action,3,0.333333
Speed 2: Cruise Control,xXx: State of the Union,1,Willem Dafoe,Action|Thriller,4,0.25
Repo Men,Elysium,1,Alice Braga,Action|Sci-Fi,4,0.25
Things to Do in Denver When You're Dead,"Devil's Own, The",1,Treat Williams,Drama,3,0.333333
"Contender, The",We Were Soldiers,1,Sam Elliott,Drama,3,0.333333
Space Cowboys,Jurassic World: Fallen Kingdom,1,James Cromwell,Action|Adventure|Sci-Fi,5,0.2
Son in Law,"Legend of Bagger Vance, The",1,Lane Smith,Drama|Romance,4,0.25
All of Me,Sgt. Bilko,1,Steve Martin,Comedy,3,0.333333
Mystic Pizza,Mr. Deeds,1,Conchata Ferrell,Comedy|Romance,4,0.25
Candyman,"Number 23, The",1,Virginia Madsen,Thriller,3,0.333333
White Men Can't Jump,Three to Tango,1,Cylk Cozart,Comedy,3,0.333333
Sgt. Bilko,Home Fries,1,Daryl Mitchell,Comedy,3,0.333333
Man of Steel,Noah,1,Russell Crowe,Adventure|IMAX,4,0.25
Charlie's Angels: Full Throttle,"Box, The",1,Cameron Diaz,Thriller,3,0.333333
Jagged Edge,AVP: Alien vs. Predator,1,Lance Henriksen,Thriller,3,0.333333
